lat,lon,age (Ma),ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT,weight
59.7779,-155.485,90, , , , , ,1
59.7981,-155.4219,90, , , , , ,1
29.8167,56.125, , , , , , ,1
38.8833,46.75,19.62, , , , , ,1
30.3035,55.3094,8.48, , , , , ,1
30.3106,55.3155,7.5, , , , , ,1
30.2232,55.2713,8.48, , , , , ,1
8.48778,-77.32139,48.1,625,0.77, , , ,5
50.58531,-120.31832,204, , , , , ,1
-14.2,-74.45, , , , , , ,1
50.58891,-120.32672,204, , , , , ,1
38.2434,36.7189,83.25, , , , , ,1
39.16506,-118.77815, , , , , , ,1
50.66111,-120.51502,204,105.7,0.97, ,0.74,2.78,4
38.5239,30.3653,11.63, , , , , ,1
38.9219,46.1882,44.2,125,0.56,0.025,0.6, ,4
54.5833,89.2,388,310.5,0.032,0.05, , ,5
9.172,125.568,12.81, , , , , ,1
32.665,59.063,39.52, , , , , ,1
39.9181,26.9413,26.9,1.9, , ,0.53, ,2
-27.37083,-66.28,5.61,1752.034,0.421,0.0331,0.178,2.966,6
-8.55972,-77.89667,12.5,242.8,0.322,0.0242, , ,4
48.6333,103.8583, , , , , , ,1
54.45,96.2167,290, , , , , ,1
38.3995,47.4716,19.62, , , , , ,1
46.99,79.93,330,1529,0.38,0.01,0.04, ,6
38.9785,46.2077,42, , , , , ,1
62.31728,23.62052,1885, , , , , ,1
64.2287,-143.9312,105.8, , , , , ,1
-1.226,132.854,3.96, , , , , ,1
67.0725,20.9575,1887,3073,0.185,0.0024,0.113,0.969,6
50.60811,-120.40442,198.5,450.2,0.29, ,0.19, ,5
32.35694,-112.86528,63,437,0.4,0.01,0.06,0.8,5
41.15833,22.75,44.52, , , , , ,1
53.436,96.5834,517.3,928,0.52, ,0.1, ,6
46.96956,79.97949,329.1,2203.556,0.328,0.0074,0.04, ,6
57.7442,-130.33532,205, , , , , ,1
49.34251,-120.51892,195,29,0.35, ,0.16, ,3
43.4,107.7167,290,1.987,0.801, , , ,2
36.395,50.937,6.8, , , , , ,1
40.0171,26.7772,28.3, , , , , ,1
57.83755,61.75112,411, , , , , ,1
40.47778,23.77083, , , , , , ,1
-31.3,-69.36667,279.6, , , , , ,1
31.649,53.828,16.5,40,0.73,0.0059, ,19,3
37.40694,-108.08806,70.3,200,0.4, , , ,4
37.40694,-108.08806,67.5,200,0.4, , , ,4
-32.54985,148.17342,436.5, , , , , ,1
-13.23472,-75.91667, ,150,0.3,0.035, , ,4
48.67757,73.94613,310,189.4,0.33,0.06, , ,4
42.81747,71.72863, , , , , , ,1
46.131,23.103,12.81, , , , , ,1
-15.81667,-73.58333, , , , , , ,1
29.5,-5.0, ,6.03,0.87, , ,12,2
-0.628,132.604, , , , , , ,1
45.6333,98.1, , , , , , ,1
-8.16667,-78.18333,7.99, , , , , ,1
36.25,49.1667,28.59, , , , , ,1
38.7,46.9333,19.62, , , , , ,1
7.35,126.06667,17.79,110,0.3, ,0.433,2.5,4
29.2265,61.646,19.5, , , , , ,1
44.4633,107.7268,290, , , , , ,1
49.5083,105.0219,290, , , , , ,1
43.668,107.1182,290, , , , , ,1
16.34966,120.65376,0.51, , , , , ,1
-32.7189,140.2055,502,4,0.6, , , ,2
32.992,55.3756,44.95, , , , , ,1
38.3333,47.2167,19.62, , , , , ,1
-30.24667,-71.0925,112,631.6,0.32, ,0.109, ,5
-5.547,148.964, , , , , , ,1
52.35,88.15, , , , , , ,1
42.505435,72.961332,464.7,15.998,0.398657957,,1.046426428,,2
-24.39833,-69.6075, , , , , , ,1
-14.18333,-75.14833, , , , , , ,1
-2.091,146.873, , , , , , ,1
38.6833,46.9333,30.8, , , , , ,1
32.0667,119.1,108, , , , , ,1
57.0594,-131.54952,48.5, ,0.15, , , ,1
38.96,-119.27,166,2821,0.265,0.0063,0.027,0.565,6
51.97421,-121.31282, , , , , , ,1
38.8205,46.3701,19.62, , , , , ,1
-9.53333,-77.05,10, , , , , ,1
-14.96,-71.34667,36,851,0.481,0.005,0.101,1.292,6
-14.34437,-72.96481, ,426.1,0.299,0.0092, , ,5
-22.5333,-69.9167,141.7,1255.1,0.31, , , ,6
40.32387,-106.24867, , , , , , ,1
44.7603,120.556,131.2, , , , , ,1
44.6331,119.603,148.3, , , , , ,1
55.32361,-124.87942,186.9, , , , , ,1
48.75,102.8833,290, , , , , ,1
49.0,113.85,290, , , , , ,1
27.99328,-113.42896, , , , , , ,1
41.1335,41.9541,50.4,66.4,0.17,0.006,0.44,1.55,3
40.4099,42.0566,83.25, , , , , ,1
27.8156,99.8388, , , , , , ,1
43.767,107.775,290, , , , , ,1
35.858,58.623,39.52, , , , , ,1
-2.047,146.87,15,164,0.32, ,0.1,1.7,4
22.0658,-80.28977, ,88.8,0.27, ,1,2,3
-25.10556,-67.76667,15.46,58.32,0.145, ,0.302, ,3
41.89177,27.57255,80.94, , , , , ,1
60.904,23.60976,1890, , , , , ,1
-30.5,-69.75,11.7, , , , , ,1
-43.27,-71.02,83.25, , , , , ,1
49.8333,105.9,290, , , , , ,1
57.29307,61.94283,405, , , , , ,1
46.2667,102.8,290, , , , , ,1
20.902,-76.706, , , , , , ,1
67.22394,163.71899, , ,0.7,0.03,0.4,3,1
42.54438,24.13671,91.5,143,0.43, ,0.19, ,4
38.7083,46.4167,19.62, , , , , ,1
33.7167,49.2917,168.8, , , , , ,1
-26.97455,-69.9875, ,257.5,0.25,0.0042,0.21, ,5
10.33573,123.72756,110.2,1420,0.448,0.018,0.24,1.8,6
55.91331,-125.29172,177.4,9.072,0.7, , , ,2
55.74001,-125.43002, , , , , , ,1
